scode,name,IndustryName,IndustryCode,Listed date,Listed year,year,business,DYNA,MUNI,liva,收入熵系数,差异化战略词频占比1,差异化战略词频占比2,成本领先战略占比1,成本领先战略占比2,组织规模,ESG综合评级,ESG综合得分,数字化转型词频占比1,数字化转型词频占比2,成本黏性
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2017,1,0.0033,0.1619,-0.375878828,0,0.00324432734279759,0.00579414966464164,0.00583978921703567,0.010429469396355,14.3823442537919,B,71.23,0.000200045343611219,0.000362499798611223,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2018,1,0.0031,0.1649,-0.174912509,0,0.00348222058528092,0.00627438362224993,0.0068305096095895,0.0123074447974902,14.6864489518444,B,73.83,0.000204512918399346,0.000372755700055913,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2019,1,0.0029,0.1678,-0.20742104,0,0.00283356627290307,0.00503469859844877,0.00679672991135533,0.0120764729895224,14.9805728675874,B,71.87,0.000659081052703659,0.00121589186457807,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2020,1,0.0027,0.1706,-0.078829609,0,0.00327718811355014,0.00594855305466238,0.00558007705820699,0.0101286173633441,15.521728757033,B,72.96,0.000685727347187565,0.00125652570642174,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2021,1,0.0026,0.1734,0.1385886416157542,0,0.00340547377785191,0.00607759476086525,0.00638005087360827,0.0113861877356618,15.9364162951608,CCC,68.37,0.000365461262430317,0.000685946058792536,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2022,1,0.0024,0.1761,0.2371954380284733,0.203029877610747,0.00363899984363673,0.00656949291726545,0.00945287068757196,0.0170652843358653,16.1481398748828,CCC,69.16,0.000311324605482542,0.000578850103549852,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2023,1,0.0023,0.1788,-0.328979946,0.30249090951402,0.00358496986194828,0.00649507915189678,0.00843379350573595,0.0152799489200555,16.4512680333301,B,73.94,0.000421290993588478,0.000773703744000774,
498,山东路桥,土木工程建筑业,E48,1997/6/9,1997,2024,1,0.0022,0.1814,-0.048503971,,,,,,16.608886389773,CCC,66.63,,,
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2014,2,0.0032,0.1587,,0.517876674462311,0.00322158105285517,0.0056592039800995,0.00531029843877226,0.00932835820895522,,CC,64.77,,,-0.010374091
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2015,2,0.0028,0.1623,0.3926919269188153,0.431015073073848,0.0024635461748452,0.0043979555449899,0.00539316865303948,0.00962795673362653,12.8919597643491,CC,64.1,0.000137436353878977,0.000251922407898367,0.992164850297484
