"year","liva_taoyan_cal","rev_entropy_taoyan_cal","diff_freq1_taoyan_cal","cost_freq1_taoyan_cal","DYNA_taoyan_cal","MUNI_taoyan_cal","org_size_taoyan_cal","cost_sticky_taoyan_cal","esg_score_taoyan_cal","digi_freq1_taoyan_cal"
2014,0.407666041671635,0.05,0.744465919719537,0.178520814866493,0.95,0.05,0.609045654893975,0.468148536749995,0.05,0.275856580304877
2015,0.95,0.070886263595204,0.833138616322546,0.153980654854846,0.95,0.05,0.609045654893975,0.49546807793699,0.0885177453027136,0.95
2016,0.05,0.0513084976162812,0.95,0.511652045758918,0.95,0.05,0.611341869062351,0.706043910251659,0.22661795407098,0.95
2017,0.05,0.072986443975388,0.95,0.492219673145699,0.95,0.05,0.620039381455928,0.496971168706198,0.373173277661795,0.95
2018,0.28354271256687,0.149433214547048,0.95,0.77998938168573,0.95,0.0642857142857147,0.626694250686738,0.422346385201795,0.181524008350731,0.95
2019,0.534375523601964,0.138618695586884,0.915078921767217,0.6617855621241,0.86,0.178571428571429,0.63134919795656,0.600118461463212,0.619027303754266,0.95
2020,0.811628635321917,0.160372388686948,0.785873059929343,0.609731229873209,0.77,0.289285714285715,0.635456818583593,0.484124049632239,0.825597269624573,0.95
2021,0.499085421681789,0.166004275734872,0.95,0.87738244554022,0.71,0.396428571428572,0.640324680792707,0.495343741499456,0.244467640918581,0.95
2022,0.327331745605619,0.204387849315375,0.95,0.825458504020516,0.65,0.501,0.640945569424693,0.472746133979687,0.271711899791231,0.95
2023,0.522924298234139,0.174427891973062,0.95,0.95,0.59,0.616517857142858,0.639957476632067,0.496474768583552,0.484029227557411,0.95
2014,0.407567649650437,0.515085565696315,0.05,0.05,0.74,0.05,0.5524578531803,0.549879157416145,0.363778705636743,0.275856580304877
2015,0.95,0.515085565696315,0.145960093573526,0.0985490703656581,0.65,0.167857142857143,0.5524578531803,0.416895062455638,0.6919795221843,0.35063000136117
2016,0.0720710586101342,0.515085565696315,0.239168469922566,0.05,0.56,0.282142857142857,0.567581090387929,0.441089539697027,0.05,0.101183251198885
2017,0.234557921518663,0.751705323746075,0.289374327869861,0.05,0.501,0.392857142857143,0.586714995301396,0.482536390394254,0.573720136518771,0.106504130622922
2018,0.05,0.60144791101211,0.331314641136876,0.05,0.4,0.501,0.603069840173755,0.452118144028938,0.905460750853242,0.0729015834341136
2019,0.383101280132404,0.677355602128547,0.163844196232156,0.05,0.3,0.616517857142858,0.5995327341607,0.95,0.95,0.427247091275878
2020,0.592649442183138,0.630154361178625,0.05,0.05,0.2,0.729017857142857,0.593420393457279,0.455316983790719,0.349686847599164,0.514254518228635
2021,0.573307830522718,0.577389027969771,0.236613449890954,0.150705425638423,0.15,0.841517857142857,0.605343391837625,0.22480646514319,0.456784968684759,0.679182882554754
2022,0.632458004514956,0.209244176141012,0.382316415283614,0.05,0.05,0.95,0.610532409246997,0.31264597541665,0.394780793319415,0.725307197302947
2023,0.461307129651257,0.210019826760015,0.61206452417151,0.12789889747913,0.05,0.95,0.612560261731412,0.40048548569011,0.489665970772443,0.545963347525765
2014,0.407666041671635,0.05,0.507532397957254,0.666940370041746,0.95,0.05,0.567584203836327,0.47537781169077,0.362961029923452,0.275856580304877
2015,0.95,0.05,0.735617389406423,0.420221830514505,0.95,0.05,0.567584203836327,0.47537781169077,0.362961029923452,0.346156103320894
2016,0.05,0.05,0.870826679068857,0.50276835393001,0.95,0.05,0.588196436712374,0.47537781169077,0.362961029923452,0.95
2017,0.139735881894794,0.05,0.876488020402733,0.4232446476635,0.95,0.05,0.588363764707592,0.47537781169077,0.362961029923452,0.95
2018,0.292834275576837,0.05,0.832581891631993,0.432367912986863,0.95,0.0642857142857147,0.627029759657101,0.47537781169077,0.362961029923452,0.95
2019,0.170239620483313,0.05,0.733063918057622,0.504078089437995,0.86,0.178571428571429,0.648307815014215,0.47537781169077,0.362961029923452,0.95
2020,0.35346009634484,0.05,0.613419657898854,0.19162610481968,0.77,0.289285714285715,0.642318093491383,0.47537781169077,0.362961029923452,0.95
2021,0.46494958999878,0.05,0.334148527066461,0.0879087743024973,0.71,0.396428571428572,0.591428774294435,0.47537781169077,0.362961029923452,0.68628088662515
2022,0.558999672277383,0.05,0.174004431908301,0.05,0.65,0.501,0.534865322606524,0.47537781169077,0.362961029923452,0.746594685746149
2023,0.621442069465237,0.05,0.183577493592756,0.0526450831947619,0.59,0.616517857142858,0.15434679426517,0.47537781169077,0.362961029923452,0.832815823015173
2014,0.407666041671635,0.393134956521912,0.322580912310287,0.333444433065822,0.95,0.05,0.305075725746004,0.47537781169077,0.362961029923452,0.275856580304877
2015,0.95,0.393134956521912,0.0617883344777224,0.486223948155452,0.95,0.05,0.305075725746004,0.47537781169077,0.362961029923452,0.395091792171076
2016,0.05,0.393134956521912,0.36886200819482,0.209088246855398,0.95,0.05,0.399988402235416,0.47537781169077,0.362961029923452,0.458404418045021
2017,0.260543832030462,0.393134956521912,0.301786238418618,0.0991438559492135,0.95,0.05,0.352640010777325,0.47537781169077,0.362961029923452,0.526565914253125
2018,0.321316996588397,0.393134956521912,0.172815415632915,0.05,0.95,0.0642857142857147,0.334214030353198,0.47537781169077,0.362961029923452,0.576261061821472
2019,0.450299972702444,0.393134956521912,0.0549516286769822,0.05,0.86,0.178571428571429,0.290970991230353,0.47537781169077,0.362961029923452,0.62824141213859
2020,0.483972740534518,0.393134956521912,0.0985453044872275,0.05,0.77,0.289285714285715,0.258742033540717,0.47537781169077,0.362961029923452,0.67920756454166
2021,0.522942450432594,0.393134956521912,0.293223885613079,0.0695924230291834,0.71,0.396428571428572,0.206555311296164,0.47537781169077,0.362961029923452,0.732011466493319
2022,0.628906628854987,0.393134956521912,0.230934941139123,0.05,0.65,0.501,0.05,0.47537781169077,0.362961029923452,0.796485219522047
2023,0.472973940728187,0.393134956521912,0.230934941139123,0.05,0.59,0.616517857142858,0.05,0.47537781169077,0.362961029923452,0.79299984340354
2014,0.407567649650437,0.95,0.0716396324084442,0.282624973813049,0.74,0.05,0.342869074864441,0.95,0.485908141962421,0.275856580304877
2015,0.95,0.95,0.259494723509885,0.29203709213795,0.65,0.167857142857143,0.342869074864441,0.95,0.502303754266212,0.407157179892006
2016,0.122872757565232,0.95,0.294513187998725,0.276035885772784,0.56,0.282142857142857,0.391529159891887,0.47142892679957,0.47651356993737,0.576699332913748
2017,0.19327196704007,0.95,0.305840341032178,0.377332785563409,0.501,0.392857142857143,0.444046374874772,0.490655223664129,0.605204778156996,0.22803204757056
2018,0.05,0.95,0.286103371022345,0.119272647202363,0.4,0.501,0.501864329495217,0.482973872193792,0.503839590443686,0.111834061879179
2019,0.304356296819605,0.95,0.154617275462615,0.150800776578837,0.3,0.616517857142858,0.509893095870071,0.542858900206812,0.766467576791809,0.123927688545306
